retired_concept_id	active_concept_id	association
1179690002	426135001	SAME_AS
11800771000119100	1269057003	SAME_AS
11800811000119100	1269058008	SAME_AS
1181000124109	449740008	REPLACED_BY
118126003	762656009	REPLACED_BY
11813006	264830009	SAME_AS
11813701000119101	298093006	REPLACED_BY
11813821000119104	298089000	REPLACED_BY
11813901000119103	874834005	SAME_AS
118197000	106122003	SAME_AS
118203002	73395004	SAME_AS
11838001	35046003	REPLACED_BY
11843151000119108	298067004	REPLACED_BY
1184607002	1010568002	REPLACED_BY
1184608007	1010569005	REPLACED_BY
1184692002	1197643000	REPLACED_BY
1184694001	1197632008	REPLACED_BY
1184697008	1197634009	REPLACED_BY
11847291000119100	874837003	SAME_AS
11848061000119101	298063000	REPLACED_BY
11850961000119100	298087003	SAME_AS
11852004	124274002	SAME_AS
11853971000119103	771411008	SAME_AS
118604003	373168002	SAME_AS
118639003	362969004	SAME_AS
1186610007	425022003	SAME_AS
11870001	208241000	SAME_AS
1187001	236037000	SAME_AS
11871002	129103003	SAME_AS
1187229001	1264088001	REPLACED_BY
1187230006	1264088001	REPLACED_BY
1187231005	1290928002	REPLACED_BY
1187232003	1290926003	REPLACED_BY
118951003	81475007	REPLACED_BY
1192004	783160006	REPLACED_BY
119371000119100	1193687005	SAME_AS
119531000119108	691171000119104	SAME_AS
11955003	34842007	REPLACED_BY
1196880004	683071000119103	SAME_AS
1197350005	764951002	REPLACED_BY
1197417009	128062001	SAME_AS
11993691000119105	1366261000	SAME_AS
12020000	30260009	REPLACED_BY
1204163004	238405002	SAME_AS
12050001000004101	540991000124105	REPLACED_BY
12066005	1264112006	REPLACED_BY
12095001	609506003	REPLACED_BY
12098004	27696007	SAME_AS
12105191000119100	1366262007	SAME_AS
12109003	732966008	SAME_AS
1217010007	1286879001	REPLACED_BY
1218009	78975002	SAME_AS
1220641009	1264255000	REPLACED_BY
1221000119103	702975009	REPLACED_BY
1221006	131158008	REPLACED_BY
12215009	723551003	REPLACED_BY
1222643003	1288023007	REPLACED_BY
12236401000119102	773969003	SAME_AS
12236441000119100	773968006	SAME_AS
12237031000119103	1237129009	SAME_AS
12237151000119108	1237130004	SAME_AS
12239221000119100	816119002	SAME_AS
12239261000119105	816120008	SAME_AS
12239301000119102	1306876007	SAME_AS
12239341000119100	787051000	SAME_AS
12239381000119105	787052007	SAME_AS
12239421000119101	1304240002	SAME_AS
12241351000119100	1074971000119103	SAME_AS
12241391000119105	1074981000119100	SAME_AS
12242005	204482005	SAME_AS
12242271000119108	762896009	SAME_AS
12242311000119108	762897000	SAME_AS
12242471000119107	1010235008	SAME_AS
12242511000119103	1010237000	SAME_AS
122483006	234974002	SAME_AS
12279008	210310009	REPLACED_BY
1229008	209466007	SAME_AS
12296009	609466002	REPLACED_BY
123046005	201163007	SAME_AS
123047001	77333008	SAME_AS
123048006	39291006	SAME_AS
123049003	13920009	SAME_AS
123050003	7916009	SAME_AS
123051004	24225004	SAME_AS
123052006	128295000	SAME_AS
123053001	1365751003	SAME_AS
123054007	8659000	REPLACED_BY
123055008	237836003	REPLACED_BY
123056009	52859009	SAME_AS
123057000	58833000	SAME_AS
123058005	73320003	SAME_AS
123059002	51467008	SAME_AS
123060007	15601008	REPLACED_BY
123061006	109983007	SAME_AS
123062004	109984001	SAME_AS
123063009	7248001	SAME_AS
123064003	212704001	SAME_AS
123076003	82639001	SAME_AS
123078002	169734005	REPLACED_BY
123079005	52639008	SAME_AS
123080008	67564005	SAME_AS
123081007	35491004	SAME_AS
123082000	7584007	SAME_AS
123083005	43072008	SAME_AS
123084004	67591007	SAME_AS
123085003	27596001	SAME_AS
123086002	23268009	SAME_AS
123088001	32709003	SAME_AS
123090000	42288005	SAME_AS
123091001	50818007	SAME_AS
123092008	49768006	SAME_AS
123093003	7632005	SAME_AS
123101006	37125009	SAME_AS
123102004	301939004	SAME_AS
123106001	131148009	SAME_AS
123110003	73238002	REPLACED_BY
123111004	80849007	SAME_AS
123121000119107	801171000124106	REPLACED_BY
123138006	57759005	SAME_AS
123139003	6234006	SAME_AS
123141000119101	801181000124109	REPLACED_BY
123151000119104	1288033004	REPLACED_BY
123156006	240539000	SAME_AS
123157002	240542006	SAME_AS
123161000119102	801191000124107	REPLACED_BY
123165004	67564005	SAME_AS
123171000119108	1290068000	REPLACED_BY
123171005	61831009	SAME_AS
123172003	15405008	SAME_AS
12318008	399183005	SAME_AS
123181000119106	1287196009	REPLACED_BY
123191003	10217006	SAME_AS
123198009	29087002	SAME_AS
123201000119107	1290069008	REPLACED_BY
123201004	57019003	SAME_AS
123203001	91554004	SAME_AS
123220002	19200009	SAME_AS
123231000119100	1290065002	REPLACED_BY
123240009	22649008	SAME_AS
123241000119109	1290064003	REPLACED_BY
123241008	247472004	REPLACED_BY
123242001	82721003	SAME_AS
123243006	34042008	SAME_AS
123245004	28039004	SAME_AS
123246003	201796004	SAME_AS
123247007	84801008	REPLACED_BY
123248002	59606006	REPLACED_BY
123249005	21794005	SAME_AS
123251009	445008009	SAME_AS
123253007	16269008	REPLACED_BY
123254001	21018002	SAME_AS
123255000	82473003	SAME_AS
123259006	59349003	SAME_AS
123262009	40541001	SAME_AS
123263004	11468004	SAME_AS
123265006	27885002	SAME_AS
123266007	361131008	SAME_AS
123267003	3750006	SAME_AS
123268008	15842009	SAME_AS
123269000	42970005	SAME_AS
123271000	24963004	SAME_AS
123271000119102	801161000124104	REPLACED_BY
123272007	268240006	SAME_AS
123273002	26408002	SAME_AS
123274008	54959009	REPLACED_BY
123275009	42908004	SAME_AS
123277001	204470001	SAME_AS
123278006	204470001	SAME_AS
123279003	44622003	SAME_AS
123280000	17234001	SAME_AS
123281000119104	1290067005	REPLACED_BY
123281001	50986000	SAME_AS
123283003	204272007	SAME_AS
123284009	75231006	SAME_AS
123287002	25552000	SAME_AS
123288007	39642007	SAME_AS
123289004	234689009	SAME_AS
123290008	1835003	REPLACED_BY
123291007	360566006	SAME_AS
123292000	16784003	SAME_AS
123293005	63302006	REPLACED_BY
123294004	111395007	REPLACED_BY
123296002	354737001	SAME_AS
123297006	447072005	SAME_AS
123298001	31066003	REPLACED_BY
