normalized_name	concept_id	display_name
hydrocele of testis (disorder)	26614003	Hydrocele of testis (disorder)
hydrocephalus (disorder)	230745008	Hydrocephalus (disorder)
hydronephrosis (disorder)	43064006	Hydronephrosis (disorder)
hydrosalpinx (disorder)	21711003	Hydrosalpinx (disorder)
hydroureteronephrosis (disorder)	40068008	Hydroureteronephrosis (disorder)
hyperactive behavior (finding)	44548000	Hyperactive behavior (finding)
hyperalphalipoproteinemia (disorder)	238080004	Hyperalphalipoproteinemia (disorder)
hyperbilirubinemia (disorder)	14783006	Hyperbilirubinemia (disorder)
hypercalcemia (disorder)	66931009	Hypercalcemia (disorder)
hypercalciuria (disorder)	71938000	Hypercalciuria (disorder)
hypercholesterolemia (disorder)	13644009	Hypercholesterolemia (disorder)
hypercoagulability state (finding)	76612001	Hypercoagulability state (finding)
hypercortisolism (disorder)	47270006	Hypercortisolism (disorder)
hyperemia of eye (finding)	781682005	Hyperemia of eye (finding)
hyperglycemia (disorder)	80394007	Hyperglycemia (disorder)
hyperhidrosis (disorder)	312230002	Hyperhidrosis (disorder)
hyperhomocysteinemia (disorder)	419503008	Hyperhomocysteinemia (disorder)
hyperinsulinism (disorder)	83469008	Hyperinsulinism (disorder)
hyperkalemia (disorder)	14140009	Hyperkalemia (disorder)
hyperlipidemia (disorder)	55822004	Hyperlipidemia (disorder)
hyperlipidemia screening (procedure)	268552003	Hyperlipidemia screening (procedure)
hyperlipoproteinemia (disorder)	3744001	Hyperlipoproteinemia (disorder)
hypermetropia (disorder)	38101003	Hypermetropia (disorder)
hypernatremia (disorder)	771115008	Hypernatremia (disorder)
hyperosmolar coma due to type 2 diabetes mellitus (disorder)	190331003	Hyperosmolar coma due to type 2 diabetes mellitus (disorder)
hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder)	395204000	Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder)
hyperparathyroidism (disorder)	66999008	Hyperparathyroidism (disorder)
hyperparathyroidism due to renal insufficiency (disorder)	19034001	Hyperparathyroidism due to renal insufficiency (disorder)
hyperphosphatemia (disorder)	20165001	Hyperphosphatemia (disorder)
hyperpigmentation of skin (disorder)	49765009	Hyperpigmentation of skin (disorder)
hyperplasia of mandibular bone (disorder)	444552001	Hyperplasia of mandibular bone (disorder)
hyperplasia of maxillary bone (disorder)	445457002	Hyperplasia of maxillary bone (disorder)
hyperplasia of prostate (disorder)	433234005	Hyperplasia of prostate (disorder)
hyperplastic polyp of intestine (disorder)	89452002	Hyperplastic polyp of intestine (disorder)
hyperprolactinemia (disorder)	237662005	Hyperprolactinemia (disorder)
hyperproteinemia (disorder)	37064009	Hyperproteinemia (disorder)
hyperreflexia (finding)	86854008	Hyperreflexia (finding)
hypersensitivity pneumonitis (disorder)	37471005	Hypersensitivity pneumonitis (disorder)
hypersensitivity reaction (disorder)	421961002	Hypersensitivity reaction (disorder)
hypersomnia (disorder)	77692006	Hypersomnia (disorder)
hypersomnia disorder related to a known organic factor (disorder)	44455001	Hypersomnia disorder related to a known organic factor (disorder)
hypersomnia with sleep apnea (disorder)	79280005	Hypersomnia with sleep apnea (disorder)
hypersplenism (disorder)	58381000	Hypersplenism (disorder)
hypertension associated with transplantation (disorder)	427889009	Hypertension associated with transplantation (disorder)
hypertension screening (procedure)	171222001	Hypertension screening (procedure)
hypertensive disorder, systemic arterial (disorder)	38341003	Hypertensive disorder, systemic arterial (disorder)
hypertensive heart and renal disease (disorder)	86234004	Hypertensive heart AND renal disease (disorder)
hypertensive heart and renal disease with (congestive) heart failure (disorder)	194779001	Hypertensive heart and renal disease with (congestive) heart failure (disorder)
hypertensive heart and renal disease with both (congestive) heart failure and renal failure (disorder)	194781004	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure (disorder)
hypertensive heart and renal disease with renal failure (disorder)	194780003	Hypertensive heart and renal disease with renal failure (disorder)
hypertensive heart disease (disorder)	64715009	Hypertensive heart disease (disorder)
hypertensive heart disease with congestive heart failure (disorder)	5148006	Hypertensive heart disease with congestive heart failure (disorder)
